"","id","day_not_date","site_id","elevation_m_asl","aspect","species","project","plot_id","plant_id","veg_height_cm","rep_height_cm","wet_mass_g","dry_mass_g","leaf_area_cm2","leaf_thickness_mm","wet_sla_cm2_g","sla_cm2_g","ldmc","bulk_nr","wet_mass_total_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","remark","new_species","n","leaf_area_total_cm2","wet_bulk_nr","wet_nr_pieces","dry_bulk_nr","dry_nr_pieces","dry_mass_total_g","check_scan","remarks","orchids","nr"
"49","EUC8700",3,1,2000,"west","craterocapsa_tarsodes","T",2,3,1.8,NA,0.00753,NA,0.2666,0.168333333333333,35.4050464807437,NA,NA,10,0.0753,0.181,0.15,0.174,NA,NA,10,2.666,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","EQF7203",5,1,2000,"east","craterocapsa_tarsodes","T",2,1,4.5,NA,0.0094,NA,0.396857142857143,0.295666666666667,42.2188449848024,NA,NA,7,0.0658,0.301,0.288,0.298,NA,NA,7,2.778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","EAO1028",5,1,2000,"west","craterocapsa_tarsodes","T",5,3,1.4,NA,0.00935555555555555,NA,0.363111111111111,0.252,38.812351543943,NA,NA,9,0.0842,0.254,0.236,0.266,NA,NA,9,3.268,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","EQS0871",5,1,2000,"west","craterocapsa_tarsodes","T",5,2,1.5,NA,0.00805,0.00184,0.3452,0.255,42.8819875776398,187.608695652174,0.228571428571429,10,0.0805,0.25,0.269,0.246,NA,NA,10,3.452,10,10,10,10,0.0184,"no",NA,NA,118
"53","ENB6758",5,1,2000,"west","craterocapsa_tarsodes","T",5,1,2,NA,0.0132272727272727,0.00295454545454545,0.412454545454545,0.2715,31.1821305841924,139.6,0.223367697594502,11,0.1455,0.285,0.258,NA,NA,NA,12,4.537,11,11,11,11,0.0325,"no",NA,NA,102
"54","EAB8488",5,1,2000,"east","craterocapsa_tarsodes","T",2,2,0.7,NA,0.00906,NA,0.3608,0.300666666666667,39.8233995584989,NA,NA,5,0.0453,0.301,0.3,0.301,NA,NA,5,1.804,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ESI3166",5,1,2000,"east","craterocapsa_tarsodes","T",1,2,2,NA,0.0166125,NA,0.56725,0.317,34.1459744168548,NA,NA,8,0.1329,0.31,0.351,0.29,NA,NA,8,4.538,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","EFZ6625",6,2,2200,"east","craterocapsa_tarsodes","T",3,1,2,NA,0.02426,NA,0.6712,0.351333333333333,27.6669414674361,NA,NA,5,0.1213,0.332,0.366,0.356,NA,NA,8,3.356,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","EQV6083",6,2,2200,"west","craterocapsa_tarsodes","T",5,1,2,NA,0.01208,0.00214,0.454,0.361,37.5827814569536,212.14953271028,0.177152317880795,5,0.0604,0.453,0.322,0.308,NA,NA,6,2.27,5,5,5,5,0.0107,"no",NA,NA,217
"58","EDH1632",6,2,2200,"east","cyperus_round","T",2,3,4.5,8.5,0.01395,0.00415,0.6635,0.221333333333333,47.5627240143369,159.879518072289,0.297491039426523,2,0.0279,0.233,0.232,0.199,NA,NA,3,1.327,2,2,2,2,0.0083,"no",NA,NA,635
