"","curveid","topt_tleaf","topt_tleaf_cond","topt_tleaf_vpdl","topt_tleaf_vpdl_cond","topt_weib","breadth_tleaf","breadth_tleaf_cond","breadth_tleaf_vpdl","breadth_tleaf_vpdl_cond","breadth_weib","AIC_tleaf","AIC_tleaf_cond","AIC_tleaf_vpdl","AIC_tleaf_vpdl_cond","concurvity_tleaf","concurvity_tleaf_cond","concurvity_tleaf_vpdl","concurvity_tleaf_vpdl_cond"
"15",1006,16.4677575757575,16.7175525252525,16.9673474747474,16.9673474747474,17.0170698512209,9.5337333333333,8.9578,8.795,8.795,NA,-620.581698048275,-679.336249381251,-705.311699158758,-705.30877983275,6.83687985183757e-28,2.19999065366634e-27,1.70957305262022e-24,4.13492399197447e-24
"16",1019,18.522269503367,13.1182313552189,27.8565172138047,8.4511075,17.4021138718973,8.9987291666667,9.7398625,9.4381916666666,9.8336083333334,10.633,-1675.0169649558,-3399.85078523293,-2329.60187678719,-3711.26937062549,4.0578640904461e-24,2.46094263446588e-23,3.88018749021856e-22,7.43326811335972e-22
"17",1037,20.5466538720539,20.0278511784512,31.9603131313131,32.2197144781145,20.9860535237043,10.7987666666666,10.3524,11.0989333333333,10.8001666666667,10.382,-995.17050558298,-1036.84984098183,-1165.08016680113,-1177.89422266788,1.09541336539578e-23,6.69594379945261e-23,1.46559126771399e-21,2.55686788168711e-21
"18",1045,17.4918491582492,17.982696969697,17.2464252525253,17.7372730639731,17.6567305545552,9.3668333333333,7.7755,8.4209,8.3560666666667,NA,138.795392445857,13.1192498334424,-91.8320575929759,-92.3318606368377,5.95271558857404e-28,1.94923721386087e-26,2.65666808994308e-21,3.16185054005211e-21
"19",1026,16.0161127272727,16.0161127272727,16.4957707070707,16.4957707070707,15.900555232445,8.5002,8.1632,8.3417,8.2393666666667,10.156,-410.048240529121,-415.465565695066,-449.194068915896,-449.600869109138,8.87016582041198e-24,3.73815244341605e-23,1.66587473202089e-21,3.47791296249016e-21
"20",1057,18.4216080808081,18.4216080808081,19.8357707070707,19.8357707070707,18.1682375296339,4.5528666666667,4.4337333333334,3.9503333333334,3.9503333333334,4.614,-2154.77698686846,-2155.76089937124,-2251.21825810634,-2251.21299929207,5.77398130180853e-29,2.09215202203192e-27,1.24143882751233e-21,1.27942140740166e-21
"21",1068,24.2117232323232,23.5242363636363,23.0659117845118,23.5242363636363,24.3219181713756,7.0742333333333,6.4161333333333,6.9735666666666,6.4161333333333,6.592,-1774.97181455611,-1815.14289801697,-1785.84182934631,-1815.1414408624,3.28881825818075e-24,6.27498145778496e-23,1.750737965401e-22,5.83088788220434e-22
"22",1075,9.80179291666667,9.80179291666667,18.7365391626409,16.9495899134461,14.4378852071223,9.0247080666667,7.6889289,8.6798122333333,7.4530330666667,NA,-3547.35308491866,-3929.16185058707,-3837.97570748315,-3967.49738420783,2.66166609212497e-24,1.9900317844173e-23,3.50323398559281e-21,7.26332396965943e-21
"23",1078,15.8559161616161,15.6000484848485,14.3207101010101,14.3207101010101,15.5957465749695,9.8627666666667,9.8327666666667,9.7296666666667,9.7296666666667,NA,-1393.47655726279,-1394.27954565791,-1399.42887397724,-1399.42151251114,2.58481897559027e-24,3.22660207162405e-24,2.47023005408402e-22,4.54421002827712e-22
"24",1092,19.0576778939394,18.7977247811448,13.5986625252525,11.7789907356902,18.0500769168942,6.7387269230769,6.8679769230769,7.2002769230769,7.2966889230769,6.824,-1413.34347540786,-1981.29116037764,-2397.37204120524,-2431.06273114674,1.77186436708465e-29,8.98688011906076e-23,9.74267769205629e-25,2.87488414642296e-22
