"","curveid","schoolfield.T_opt","weibull.T_opt","new_T_opt0","new_T_opt1","new_T_opt2","new_T_opt3","new_T_opt4","new_T_opt5","new_T_opt6","curve_breadth_gam0","curve_breadth_gam1","curve_breadth_gam2","curve_breadth_gam3","curve_breadth_gam4","curve_breadth_gam5","curve_breadth_gam6","curve_breadth_schoolfield","curve_breadth_schoolfield.mjc","AIC0","AIC1","AIC2","AIC3","AIC4","AIC5","AIC6","rsq0","rsq1","rsq2","rsq3","rsq4","rsq5","rsq6","concurvity_full0.para","concurvity_full0.s.tleaf.","concurvity_full1.para","concurvity_full1.s.cond.","concurvity_full2.para","concurvity_full2.s.cond.","concurvity_full2.s.vpdl.","concurvity_full3.para","concurvity_full3.s.tleaf.","concurvity_full4.para","concurvity_full4.s.tleaf.","concurvity_full5.para","concurvity_full5.s.tleaf.","concurvity_full5.s.vpdl.","concurvity_full6.para","concurvity_full6.s.tleaf.","concurvity_full6.s.cond.","T_opt.s","J_ref","E","E_D","school_breadth","Schoolfield.mjc.T_opt"
"31",52,24.9836796316554,25.38168177973,25.4574,25.95795,25.7584,25.4574,25.3588,26.06575,25.95795,18.84575,18.84575,18.84575,18.84575,18.9153,18.84575,18.84575,18.84575,18.4528,-1030.74368869219,-1035.03356244136,-1078.44815549328,-1031.13458244857,-1036.5950399934,-1091.8764263699,-1101.81756736813,0.998837158842315,0.998856330461755,0.999034711894847,0.998838585915024,0.998860593394651,0.999066905606502,0.999108625478098,0.999999984637712,0.9999981165318,0.995792169251686,0.481925810526561,0.99999820948393,0.996558938613188,0.999772464439047,0.9999999865065,0.9999985763945,3.57009170784621e-25,3.53228108603925e-25,9.29508942039845e-23,0.999998990732383,0.999998990732384,1.99993312639714e-24,0.99681633125027,0.99681633125027,24.9836796316554,112.857790089765,0.887888015411544,1.02274788089488,12.90095,24.9619413483087
"32",54,23.7854872957993,23.7320765644562,21.39255,23.7026,21.6018,21.39255,21.39255,21.3,21.4904,23.01435,23.2856,22.9317,23.01435,23.01435,22.9714,22.96185,23.3201,23.2713,-942.634792471422,-736.127556783852,-1085.34517086446,-942.624134408631,-944.993021613088,-1110.44086869848,-1096.49913492902,0.99399696051753,0.988040400090393,0.996375238752572,0.993996560931055,0.99403946629868,0.99662511794085,0.996506238551563,0.999999988591365,0.999996371537031,0.998475536470483,0.514411241064426,0.999999985114573,0.994944473300541,0.999995316372016,0.999999988713588,0.999996427014522,7.53428755955123e-26,7.54013115832387e-26,1.93149927055455e-21,0.999999981359021,0.999999981359023,2.68388061792551e-25,0.973506947783037,0.973506947783037,23.7854872957993,17.5712605273656,0.249572925782164,0.833594175564753,15.48165,23.7675473818689
"33",57,20.8005506768453,20.6130113721183,20.48255,20.79145,20.48255,20.48255,20.3803,20.48255,20.06185,16.5902,16.48335,16.48335,16.5902,16.5902,16.48335,16.48335,15.6384,15.6953,-1011.01850185591,-468.038545240173,-1041.20833447249,-1010.81233601671,-1012.5496698081,-1028.60122230849,-1041.69522301658,0.99951949316475,0.997053626399963,0.999576663305425,0.999519165063486,0.999521953083749,0.999552679665884,0.999577188473018,0.999999997821014,0.999999884249982,0.999000249054893,0.946839024434243,0.999995347735925,0.999956615379099,0.999954764276609,0.99999999725643,0.999999861699411,5.75559670576065e-26,5.61032078084859e-26,1.68795854828168e-23,0.999998265110331,0.999998265110333,2.55112487833426e-25,0.999386166659424,0.999386166659424,20.8005506768453,31.2481148781766,0.386239571018158,1.1825993221906,15.21145,20.7925571478474
"34",58,23.0884491210588,22.8466658905684,22.7413846153846,23.4938307692308,22.7413846153846,22.7413846153846,22.7413846153846,22.6293153846154,22.7413846153846,12.4269980769231,11.7705685897436,12.4269980769231,12.4269980769231,12.4269980769231,12.4269980769231,12.4269980769231,11.1107352564102,11.0028596153846,-587.752867415734,-261.573506620672,-1529.02925434186,-587.772389756655,-587.325153275702,-1358.0898684437,-1507.01169362817,0.998442904553519,0.99537698954613,0.99993508457211,0.998443077562258,0.998440264162312,0.999882846757209,0.99993010597898,0.999999772557381,0.99999534493052,0.99267021853419,0.848873628491647,0.999999956995758,0.999988104938384,0.999999121204086,0.999999748101308,0.999995097501343,3.21287480544877e-26,3.35658190023918e-26,2.08602839634912e-20,0.99999998207748,0.999999982077478,5.71154721937263e-24,0.999914353662282,0.999914353662278,23.0884491210588,18.3587536405192,0.413415176939618,1.98559266837777,15.1072121794871,23.0845521378544
"35",59,18.6290627423512,17.347941104945,16.4958692307692,16.9556923076923,16.4958692307692,16.4958692307692,16.5885384615385,16.3074615384615,16.4958692307692,12.4703423076923,12.5852807692308,12.3985615384615,12.4703423076923,12.4703423076923,12.4703423076923,12.4703423076923,13.0267653846154,11.7615346153846,-1310.64706091513,-831.105203631546,-1361.87286578282,-1296.70968568949,-1230.76034389344,-1545.69817351867,-1604.56637742538,0.999977285132134,0.999884519332802,0.999981429472904,0.999976185131963,0.999970108783783,0.999989968695261,0.999991820401304,0.9999992660215,0.99999746475081,0.999434394931133,0.998045228508619,0.999979229737427,0.999939525885651,0.999966933063483,0.999999759494536,0.999999345127211,2.97989826993998e-26,2.97611330130778e-26,2.34136246777523e-23,0.999998818441717,0.999998818441718,3.65326501828387e-24,0.999926528498053,0.999926528498052,18.6290627423512,17.2019898203481,0.136045234714623,3.05688111899518,12.2351538461538,18.6230988415464
"36",61,21.7142889126363,21.2073256245584,20.8419,21.9328,20.93115,20.8419,20.8419,20.93115,20.93115,14.52825,14.1509,14.57955,14.52825,14.52825,14.57955,14.57955,13.93655,13.87325,-1059.55031581002,-308.775971933376,-1153.81143742053,-1059.51893144188,-1061.48109333081,-1136.50598224585,-1112.50487979417,0.999770725221258,0.997184628862029,0.999835872260669,0.999770737431209,0.999772142435899,0.999825997767475,0.999811717199743,0.999999945762635,0.999998529627498,0.997197502732926,0.923810910732346,0.999994915254851,0.999968202884609,0.999963677087729,0.999999926490193,0.999998343693233,1.38305605594257e-25,1.39189636685211e-25,3.70851428562996e-22,0.999998442287194,0.999998442287194,1.07550704343801e-23,0.999911230332312,0.999911230332311,21.7142889126363,21.852932758493,0.267207430929498,1.81929677018016,13.183,21.7082467805743
"37",62,18.6475557865197,18.1692161748481,18.5396,18.6302,18.6302,18.5396,18.5396,18.5396,18.7162,13.26955,13.14745,13.26955,13.26955,13.26955,13.26955,13.26955,13.15785,12.66325,-1136.55781601714,-948.73255365699,-1155.62099851349,-1135.96807934057,-1118.79055922789,-1180.40338233293,-1153.99669437121,0.999918056297302,0.999844048054952,0.999924947762154,0.999917886212546,0.99991280231706,0.99993106899115,0.999925057146992,0.999999909435662,0.999999020638602,0.999548919513556,0.995119821432712,0.999992075717827,0.999562768280454,0.999903662744269,0.999999904344191,0.999999084131652,1.70918275316972e-24,1.70759560410216e-24,1.25810752910856e-21,0.999998083205179,0.999998083205179,8.37592613603686e-24,0.99928653637408,0.99928653637408,18.6475557865197,27.8185557916852,0.354778065925193,1.56936114841543,12.5419,18.6420805198189
"38",63,22.5550171104425,22.6364763567843,28.54265,28.70785,28.70785,28.54265,28.48755,28.61615,28.70785,3.4981,3.42595,3.42595,3.4981,3.46635,3.42595,3.46635,4.37775,4.37775,-222.226085703883,-211.06382924188,-227.318806687055,-222.199546716582,-221.225730818245,-228.387329957887,-227.011226491158,0.995126964640538,0.994508089503235,0.995495035904778,0.995125668925031,0.995069785840944,0.995609663993711,0.995438811880133,0.999999999941272,0.999999967057412,0.999915728529284,0.952725682417935,0.99999981504915,0.999720125417602,0.999875068044514,0.999999999941134,0.999999966302931,3.53732241998037e-26,3.51428981861096e-26,3.88977779808259e-24,0.999960400432604,0.999960400432604,1.40781434251283e-23,0.999960890443492,0.999960890443488,22.5550171104425,31.9804052549988,0.509742723782887,1.06426373644907,13.05505,22.54732090499
"39",66,23.3167309957735,23.6484590674347,22.57185,22.1687,22.1687,22.57185,22.67285,22.57185,22.1687,19.20215,19.03975,19.13365,19.20215,19.20215,19.20215,19.13365,19.03975,18.75715,-873.152165822142,-773.770515175258,-903.745793833441,-873.251690035684,-874.110135627606,-897.482948848887,-909.810476671013,0.995277411706582,0.99342783259643,0.995793183411778,0.995279042267815,0.995293032503494,0.99570166657738,0.995875598870385,0.999999988656725,0.999998529408079,0.99902563866513,0.873556325175774,0.999997749193055,0.998757870426838,0.999693611621542,0.999999990470375,0.999998902589197,1.81380766976085e-25,1.80548882810124e-25,9.96974187542922e-22,0.999998864149185,0.999998864149185,2.04803724175145e-24,0.998625179685018,0.998625179685016,23.3167309957735,53.3700173895578,0.805493144359382,1.03743697002613,14.5719,23.3032099369632
"40",68,22.7990417774037,22.9615027979565,22.6719,22.5707,22.8573,22.6719,22.6719,22.5707,22.8573,15.14305,15.193,15.0362,15.14305,15.14305,14.95075,15.10095,15.0576,15.0658,-882.053040466614,-875.157092506165,-972.074926330989,-882.471559887462,-879.699082122519,-983.848107167471,-912.995347710847,0.998563197158823,0.998532359656105,0.998964334260724,0.998565213354431,0.998550990524121,0.998991772678306,0.998738722984553,0.999999998242264,0.999999883616774,0.999900995321926,0.993444053995194,0.999997344237994,0.998832929642125,0.999831422367503,0.999999997775197,0.999999857819508,4.7482820114015e-26,4.77199572616906e-26,9.57780995457794e-23,0.999997814673604,0.999997814673602,2.07888228357836e-24,0.998526690756301,0.998526690756298,22.7990417774037,33.1269894219876,0.604119067287163,1.17389978454709,14.13065,22.7917175331027
