curveid,tleaf_opt,tleaf_cond_opt,weib_Topt,weib_breadth,tleaf_breadth,tleaf_cond_breadth
62,18.5987111111111,18.5987111111111,18.1692161748481,7.319,23.1242,23.1242
69,19.0354318181818,19.0354318181818,19.0283100051588,7.86,1,1
69,19.0354318181818,19.0354318181818,19.0283100051588,7.86,100,100
69,19.0354318181818,19.0354318181818,19.0283100051588,7.86,24.35065,24.35065
70,21.7201727272727,20.3548636363636,21.1032590209566,7.545,1,1
70,21.7201727272727,20.3548636363636,21.1032590209566,7.545,100,100
70,21.7201727272727,20.3548636363636,21.1032590209566,7.545,22.5276,22.5276
9,24.9052461538461,25.6134641025641,25.4534931049291,9.333,1,1
9,24.9052461538461,25.6134641025641,25.4534931049291,9.333,100,100
9,24.9052461538461,25.6134641025641,25.4534931049291,9.333,23.3711923076923,23.3711923076923
4,22.8098704545455,22.8098704545455,23.5599348966492,10.472,1,1
4,22.8098704545455,22.8098704545455,23.5599348966492,10.472,100,100
4,22.8098704545455,22.8098704545455,23.5599348966492,10.472,23.719035,23.719035
7,23.4742247474747,23.7127146464647,23.5567720195175,9.169,1,1
7,23.4742247474747,23.7127146464647,23.5567720195175,9.169,100,100
7,23.4742247474747,23.7127146464647,23.5567720195175,9.169,23.6105,23.6105
10,25.09974375,27.87355625,26.1613528918936,12.199,1,1
10,25.09974375,27.87355625,26.1613528918936,12.199,100,100
10,25.09974375,27.87355625,26.1613528918936,12.199,27.46074375,27.46074375
12,27.5185212121212,23.8703318181818,27.4678299412559,11.49,1,1
12,27.5185212121212,23.8703318181818,27.4678299412559,11.49,100,100
12,27.5185212121212,23.8703318181818,27.4678299412559,11.49,24.07805,24.07805
13,22.0662937062937,22.3106773892774,22.1695069524312,8.306,1,1
13,22.0662937062937,22.3106773892774,22.1695069524312,8.306,100,100
13,22.0662937062937,22.3106773892774,22.1695069524312,8.306,24.1939846153846,24.1939846153846
14,21.8456651515152,20.9958247474748,21.8354377873318,9.004,1,1
14,21.8456651515152,20.9958247474748,21.8354377873318,9.004,100,100
14,21.8456651515152,20.9958247474748,21.8354377873318,9.004,21.03355,21.03355
15,23.5364833333333,23.3324227272727,23.3426972109911,9.665,1,1
15,23.5364833333333,23.3324227272727,23.3426972109911,9.665,100,100
15,23.5364833333333,23.3324227272727,23.3426972109911,9.665,20.202,20.202
17,27.4978686868687,27.2482863636364,27.8524119960998,11.135,1,1
17,27.4978686868687,27.2482863636364,27.8524119960998,11.135,100,100
17,27.4978686868687,27.2482863636364,27.8524119960998,11.135,24.70865,24.70865
72,21.4167416666667,21.1436451515152,21.8104125539037,9.507,1,1
72,21.4167416666667,21.1436451515152,21.8104125539037,9.507,100,100
72,21.4167416666667,21.1436451515152,21.8104125539037,9.507,27.036555,27.036555
75,19.7718106837607,19.3176863170163,19.711714393059,7.465,1,1
75,19.7718106837607,19.3176863170163,19.711714393059,7.465,100,100
75,19.7718106837607,19.3176863170163,19.711714393059,7.465,22.4791561538462,22.4791561538462
76,21.2871888111888,21.5007383216783,21.9350007474652,9.70500000000001,1,1
76,21.2871888111888,21.5007383216783,21.9350007474652,9.70500000000001,100,100
76,21.2871888111888,21.5007383216783,21.9350007474652,9.70500000000001,21.1414015384615,21.1414015384615
95,19.5920666666667,18.1029722222222,19.0815482069698,8.455,1,1
95,19.5920666666667,18.1029722222222,19.0815482069698,8.455,100,100
95,19.5920666666667,18.1029722222222,19.0815482069698,8.455,21.06005,21.06005
98,21.537344949495,21.7499606060606,21.740920998088,8.3,1,1
98,21.537344949495,21.7499606060606,21.740920998088,8.3,100,100
98,21.537344949495,21.7499606060606,21.740920998088,8.3,21.04895,21.04895
101,21.4895343434343,21.4895343434343,20.8460502456009,8.893,1,1
101,21.4895343434343,21.4895343434343,20.8460502456009,8.893,100,100
101,21.4895343434343,21.4895343434343,20.8460502456009,8.893,23.7679,23.7679
63,28.48755,28.48755,22.6364763567843,9.536,1,1
63,28.48755,28.48755,22.6364763567843,9.536,100,100
63,28.48755,28.48755,22.6364763567843,9.536,4.37775,4.37775
66,23.8441727272727,23.3912272727273,23.6484590674347,11.773,70,71
66,23.8441727272727,23.3912272727273,23.6484590674347,11.773,43,42
66,23.8441727272727,23.3912272727273,23.6484590674347,11.773,6.11476363636364,6.56770909090909
68,22.9545777777778,22.5087858585859,22.9615027979565,8.718,1,1
68,22.9545777777778,22.5087858585859,22.9615027979565,8.718,100,100
68,22.9545777777778,22.5087858585859,22.9615027979565,8.718,22.0667,22.0667
3,21.7188926184926,21.9432509324009,21.785415416075,8.707,1,1
3,21.7188926184926,21.9432509324009,21.785415416075,8.707,100,100
3,21.7188926184926,21.9432509324009,21.785415416075,8.707,22.2114730769231,22.2114730769231
6,23.7767646464646,23.579695959596,23.4655617170427,7.645,1,1
6,23.7767646464646,23.579695959596,23.4655617170427,7.645,100,100
6,23.7767646464646,23.579695959596,23.4655617170427,7.645,19.5098,19.5098
2,26.3630461538461,26.3630461538461,23.3452849782458,9.267,1,1
2,26.3630461538461,26.3630461538461,23.3452849782458,9.267,100,100
2,26.3630461538461,26.3630461538461,23.3452849782458,9.267,4.3719538461539,4.3719538461539
1,22.6537236985237,22.6537236985237,22.5707660857606,9.541,1,1
1,22.6537236985237,22.6537236985237,22.5707660857606,9.541,100,100
1,22.6537236985237,22.6537236985237,22.5707660857606,9.541,22.1422923076923,22.1422923076923
5,23.2019939393939,23.6652333333333,23.1842815449715,9.226,1,1
5,23.2019939393939,23.6652333333333,23.1842815449715,9.226,100,100
5,23.2019939393939,23.6652333333333,23.1842815449715,9.226,22.93035,22.93035
11,21.5236591006216,21.2911417832168,21.299696705941,7.183,1,1
11,21.5236591006216,21.2911417832168,21.299696705941,7.183,100,100
11,21.5236591006216,21.2911417832168,21.299696705941,7.183,23.0192144230769,23.0192144230769
33,21.2290647241647,23.7774964257964,20.8050509920943,8.391,1,1
33,21.2290647241647,23.7774964257964,20.8050509920943,8.391,100,100
33,21.2290647241647,23.7774964257964,20.8050509920943,8.391,21.0245615384615,21.0245615384615
38,24.9152879564879,24.9152879564879,25.0358830388663,10.552,1,1
38,24.9152879564879,24.9152879564879,25.0358830388663,10.552,100,100
38,24.9152879564879,24.9152879564879,25.0358830388663,10.552,21.9676461538462,21.9676461538462
40,27.0387338383838,25.8527212121212,27.5237037937111,13.19,80,79
40,27.0387338383838,25.8527212121212,27.5237037937111,13.19,32,27
40,27.0387338383838,25.8527212121212,27.5237037937111,13.19,11.3857212121212,12.3345313131313
42,23.699934965035,23.699934965035,24.0528272833406,9.702,1,1
42,23.699934965035,23.699934965035,24.0528272833406,9.702,100,100
42,23.699934965035,23.699934965035,24.0528272833406,9.702,20.8310461538461,20.8310461538461
83,21.5632788888889,20.8464772222222,21.1292766137889,6.632,1,1
83,21.5632788888889,20.8464772222222,21.1292766137889,6.632,100,100
83,21.5632788888889,20.8464772222222,21.1292766137889,6.632,23.654455,23.654455
86,25.1699755555556,17.7507022222222,24.6127333392645,7.844,1,50
86,25.1699755555556,17.7507022222222,24.6127333392645,7.844,100,5
86,25.1699755555556,17.7507022222222,24.6127333392645,7.844,18.83354,8.5607
94,22.0533641414141,21.5562934343434,21.9726376055229,8.374,1,1
94,22.0533641414141,21.5562934343434,21.9726376055229,8.374,100,100
94,22.0533641414141,21.5562934343434,21.9726376055229,8.374,24.605,24.605
96,21.7765454545455,20.2189005050505,21.3132185606105,7.536,1,1
96,21.7765454545455,20.2189005050505,21.3132185606105,7.536,100,100
96,21.7765454545455,20.2189005050505,21.3132185606105,7.536,22.02955,22.02955
97,22.1000590909091,21.85995,22.2453020290048,6.99,1,1
97,22.1000590909091,21.85995,22.2453020290048,6.99,100,100
97,22.1000590909091,21.85995,22.2453020290048,6.99,23.7708,23.7708
99,22.9171606060606,22.2425651515152,22.5145855518963,7.838,1,1
99,22.9171606060606,22.2425651515152,22.5145855518963,7.838,100,100
99,22.9171606060606,22.2425651515152,22.5145855518963,7.838,22.26165,22.26165
100,25.3261338383838,25.5570015151515,25.3712684986237,11.376,1,1
100,25.3261338383838,25.5570015151515,25.3712684986237,11.376,100,100
100,25.3261338383838,25.5570015151515,25.3712684986237,11.376,22.8559,22.8559
118,22.7524368686869,21.9529297979798,21.9705184045454,9.679,1,1
118,22.7524368686869,21.9529297979798,21.9705184045454,9.679,100,100
118,22.7524368686869,21.9529297979798,21.9705184045454,9.679,19.7878,19.7878
119,22.0392454545455,21.4277,21.2460645239099,8.467,1,1
119,22.0392454545455,21.4277,21.2460645239099,8.467,100,100
119,22.0392454545455,21.4277,21.2460645239099,8.467,20.181,20.181
120,22.0798580808081,22.3163282828283,21.4739735479723,8.299,1,1
120,22.0798580808081,22.3163282828283,21.4739735479723,8.299,100,100
120,22.0798580808081,22.3163282828283,21.4739735479723,8.299,23.41055,23.41055
121,20.5709045454545,20.9820358585859,20.4187693719138,4.766,1,1
121,20.5709045454545,20.9820358585859,20.4187693719138,4.766,100,100
121,20.5709045454545,20.9820358585859,20.4187693719138,4.766,20.351,20.351
21,22.587495770202,21.1733840277778,22.7528575478282,9.962,72,64
21,22.587495770202,21.1733840277778,22.7528575478282,9.962,31,27
21,22.587495770202,21.1733840277778,22.7528575478282,9.962,9.66309690656566,8.72035574494949
125,23.3895506216006,23.3895506216006,23.4966018325393,8.754,1,1
125,23.3895506216006,23.3895506216006,23.4966018325393,8.754,100,100
125,23.3895506216006,23.3895506216006,23.4966018325393,8.754,24.9647634615385,24.9647634615385
124,27.6860206682207,27.9113475524475,26.996683597283,8.72,1,1
124,27.6860206682207,27.9113475524475,26.996683597283,8.72,100,100
124,27.6860206682207,27.9113475524475,26.996683597283,8.72,22.3073615384616,22.3073615384616
126,23.0182025252525,23.2286515151515,22.90843312762,7.716,1,1
126,23.0182025252525,23.2286515151515,22.90843312762,7.716,100,100
126,23.0182025252525,23.2286515151515,22.90843312762,7.716,20.83445,20.83445
127,23.5963171717172,23.360254040404,22.5557544831901,7.146,1,1
127,23.5963171717172,23.360254040404,22.5557544831901,7.146,100,100
127,23.5963171717172,23.360254040404,22.5557544831901,7.146,23.37025,23.37025
25,21.1635909090909,20.9146171717172,20.0371390437503,7.826,1,1
25,21.1635909090909,20.9146171717172,20.0371390437503,7.826,100,100
25,21.1635909090909,20.9146171717172,20.0371390437503,7.826,24.6484,24.6484
31,20.1730166666667,20.1730166666667,19.6063565260929,5.137,1,1
31,20.1730166666667,20.1730166666667,19.6063565260929,5.137,100,100
31,20.1730166666667,20.1730166666667,19.6063565260929,5.137,20.7129,20.7129
22,19.1172263273763,18.4016834757834,18.1792780122504,7.14,1,1
22,19.1172263273763,18.4016834757834,18.1792780122504,7.14,100,100
22,19.1172263273763,18.4016834757834,18.1792780122504,7.14,23.6129141025641,23.6129141025641
26,23.0469282051282,23.0469282051282,21.2919857893849,8.163,1,1
26,23.0469282051282,23.0469282051282,21.2919857893849,8.163,100,100
26,23.0469282051282,23.0469282051282,21.2919857893849,8.163,24.7434,24.7434
27,13.5187,13.5187,16.5449711357282,6.017,1,1
27,13.5187,13.5187,16.5449711357282,6.017,100,100
27,13.5187,13.5187,16.5449711357282,6.017,19.713,19.713
28,21.10395,21.10395,20.7106266033748,10.826,1,1
28,21.10395,21.10395,20.7106266033748,10.826,100,100
28,21.10395,21.10395,20.7106266033748,10.826,21.19125,21.19125
44,22.1291227272727,21.6695590909091,20.5005534134497,8.437,1,1
44,22.1291227272727,21.6695590909091,20.5005534134497,8.437,100,100
44,22.1291227272727,21.6695590909091,20.5005534134497,8.437,22.7484,22.7484
47,20.358051010101,20.1316090909091,17.86334777658,10.931,1,1
47,20.358051010101,20.1316090909091,17.86334777658,10.931,100,100
47,20.358051010101,20.1316090909091,17.86334777658,10.931,22.41775,22.41775
46,24.2262391245792,25.9569087334888,24.5486474213676,14.456,71,80
46,24.2262391245792,25.9569087334888,24.5486474213676,14.456,36,39
46,24.2262391245792,25.9569087334888,24.5486474213676,14.456,7.57167953897953,8.86968174566174
54,25.4059070707071,25.1652621212121,23.7320765644562,13.09,75,72
54,25.4059070707071,25.1652621212121,23.7320765644562,13.09,28,37
54,25.4059070707071,25.1652621212121,23.7320765644562,13.09,11.3103126262626,8.42257323232323
115,21.0342363636364,21.2524984848485,20.2054004180334,11.165,1,1
115,21.0342363636364,21.2524984848485,20.2054004180334,11.165,100,100
