"","X","curveID","J_ref","J_ref_SE","E","E_SE","E_D","E_D_SE","T_opt","T_opt_SE","AIC","r_sq","breadth"
"25","J_ref24",40,0.060353212336625,0.00206778738159584,0.763108241893453,0.015021367903517,0.962546437453351,0.0101636466570981,27.1362923038763,0.0380824980873383,-1522.61847190887,0.994508514469266,13.773
"26","J_ref25",42,0.0974186311006167,0.0020508156622966,0.637509682596902,0.00878856651750217,1.07197539922616,0.00260006042650341,23.8478349487237,0.0266177194053459,-740.348992377314,0.997087149188216,14.3413
"27","J_ref26",44,0.0373210945301644,0.000969289425750637,0.282277532570319,0.0157422540475614,1.33251702113486,0.0110622065751216,20.8413514027824,0.0631957560838398,-245.32874892851,0.994755225963146,NA
"28","J_ref27",46,0.0379895018433199,0.00172986082976342,0.237105154003442,0.0150297350820145,0.740437596886117,0.0199061089648715,24.488826991631,0.0868542004308938,-707.730245026477,0.965106686840743,13.4235461538461
"29","J_ref28",47,0.0335205557700038,0.0018635322858174,0.266903433751973,0.0214797853299997,0.957299223927913,0.0106685853462691,18.1134094501142,0.0793187512558717,-449.416175169835,0.989393079223948,NA
"30","J_ref29",48,0.0433967689973354,0.0023580715441411,0.425028292325272,0.0211001700144702,0.959788500156687,0.00770403464512283,22.8156097584729,0.0934039291628205,-391.339566542965,0.964909076771099,15.14935
"31","J_ref30",52,0.275293544674563,0.00995097059150129,0.887635811070873,0.0136985202131167,1.02283738058873,0.0104802019326432,24.9619413483087,0.0277378446021963,-921.919264245723,0.998312809370603,12.90095
"32","J_ref31",54,0.0428568919495366,0.00167579765706564,0.249239928951125,0.013874184666454,0.833645997296757,0.0205605109727127,23.7675473818689,0.101538701791982,-385.834240473816,0.960961620474131,15.48165
"33","J_ref32",57,0.0762207942043285,0.00158361334773893,0.385934192981002,0.00878853646172914,1.18265741822443,0.00724273848222316,20.7925571478474,0.0464865941444531,-215.875938188242,0.993070478747359,15.21145
"34","J_ref33",58,0.0447804324648547,0.000585499675861431,0.413098098785342,0.00771189056101042,1.98563662381451,0.0240634118412616,23.0845521378544,0.0609174749405803,105.247129485178,0.984040000900145,15.1072121794871
"35","J_ref34",59,0.0419588446949938,0.000396248284570745,0.135735279593556,0.00582624022212626,3.05687413493691,0.0361453361993891,18.6230988415464,0.0625542213446034,192.417751034967,0.996231000894506,12.2351538461538
"36","J_ref35",61,0.0533039588999937,0.000455529102358625,0.266911854663844,0.00508495780908588,1.81930931201078,0.0161112024876743,21.7082467805743,0.0385372784133513,-145.208075913284,0.995072481928102,13.183
"37","J_ref36",62,0.0678553313014275,0.000509894148274511,0.354480171258477,0.00375089991210978,1.56942034880737,0.00355433823838338,18.6420805198189,0.0152613044056264,-614.05619464097,0.99946038311669,12.5419
